iCMS2_Up,iCMS2_Down,iCMS3_Up,iCMS3_Down
CXCL14,GBA2,AL445524.1,AQP8
LY6G6F-LY6G6D,IL18,TNFRSF10B,SLC26A2
EREG,FA2H,DNAJC10,PCSK1N
TIMP3,TP53I3,IGHG4,MS4A12
KRT23,BAIAP2L2,TSTA3,FABP1
RUBCNL,NPTN,PFKP,TLE2
PLTP,PPP2CB,RASL11A,CA4
TNNC2,STXBP5,LIPG,UGT2A3
GGH,LAMA3,RAB15,CEACAM7
FN1,TRIP11,CTNNBIP1,SLC39A5
TDGF1,CCNG2,MUC17,MOGAT3
ARID3A,HIPK1,ATL3,ZBTB10
PTPRO,PPP1R12B,ADAM9,CEBPA
CYP2W1,UGDH,SEZ6L2,ID1
TSPAN6,NUMB,LPIN1,CKB
FGGY,FLII,ATP1B1,SATB2
DPEP1,PDLIM5,PPP6R1,VAV3
AXIN2,ZNF24,DEPP1,SEMA5A
PRSS23,ACADS,WARS,CFTR
PLIN2,ARSA,S100A13,C10orf99
PLCB4,ATP8A1,C9orf3,HNF4A
RNF43,COPG1,DPYSL2,CDX2
PFDN4,TLN2,MMP7,PM20D2
ASCL2,SMAD4,CDKN2A,SLC26A3
PRR15,RNF19B,TVP23B,ARSE
DDX27,ALDH6A1,S100P,NOX1
QPRT,ATP5F1A,CLU,MEP1A
AP003774.4,VAPA,SERPINB5,SELENOP
LCN15,PCM1,CYR61,DDC
POFUT1,RNASE1,EPS8L1,PID1
CPNE1,ALDOB,TRIM29,AIFM3
AREG,RIOK3,SDR16C5,ST6GAL1
MYC,LMAN1,PRSS2,CDHR1
OSER1,LRP10,RGS10,FCGRT
ZNF503,NDRG2,MYOF,SPINK1
SLC5A6,NAA38,TMEM92,ESPN
NELFCD,TFF3,IFI16,GJB1
DPM1,ACER3,TYMP,NXPE4
FARP1,KIAA1522,CA9,CHP2
TP53RK,SHROOM3,TPGS1,PKIG
ARHGAP45,PLA2G10,CDC42EP1,PPP1R14D
EIF6,CCAR2,BNIP3L,SMAP1
ACOT8,TOR4A,STIM2,A1CF
NKD1,CASC4,LINC00467,TFCP2L1
CTNNBL1,HES4,AGRN,THBS1
YWHAB,MPDU1,ME1,RETREG1
TRIB3,RHOBTB3,RGS2,MAPK13
PSMA7,RNF138,EGLN3,ATP10B
TOP1MT,CHCHD10,IFI6,NUAK2
RAB5IF,MFHAS1,FUT8,MAVS
MAPRE1,FOXP1,CD55,AKAP1
AHCY,VILL,PMP22,SHD
ATP9A,AKAP13,KDELR3,KLC4
CTSA,LGR4,CFD,PHYH
RAE1,PTPN18,ANXA1,
NEU1,GOLM1,AC020656.1,
C8orf33,AKT1,COL16A1,
CDK5RAP1,POLD3,KRT7,
GPSM2,ABO,ANKRD36C,
PRPF6,TENT5A,REG3A,
TOMM34,LMNA,C4BPB,
SCML1,VAMP2,SYTL1,
STK4,CASZ1,KLK11,
DDAH2,ASAP2,RARRES3,
RTF2,PPP3CA,TFF2,
PMEPA1,TMED7,DUSP4,
FERMT1,FBXW5,TFF1,
PRELID3B,GNAQ,NDUFA4L2,
UCA1,RCOR1,AQP3,
GABRE,AP001816.1,RAMP1,
EIF2S2,DIP2A,F3,
PDRG1,RNF11,LYZ,
NFS1,P2RX4,MUC5AC,
PCMTD2,NDUFV2,TM4SF4,
RNF114,NBL1,,
ANO9,IER3IP1,,
FUNDC2,ERGIC1,,
ZDHHC9,CARD16,,
UTP14A,PADI2,,
STAU1,GPRIN3,,
DAB2,PTPRF,,
COMMD7,CXXC1,,
SERPINE2,GSTZ1,,
IFITM1,FFAR4,,
RNF113A,SCP2,,
FMR1,MYO5C,,
PRAP1,DHRS1,,
UCKL1,SLC9A1,,
DNTTIP1,GSKIP,,
ADRM1,CRACR2B,,
PROSER1,CANT1,,
GTF2F2,GSR,,
ASXL1,SCNN1A,,
GID8,SMPDL3A,,
DKC1,PTGFRN,,
GTF2IRD1,SPRED1,,
NDRG3,MBP,,
NEK3,CLSTN1,,
STX16,BTBD6,,
SERINC3,GPT,,
CHCHD7,STXBP6,,
TIMM8A,TUBB2A,,
CARS2,MPPE1,,
RRS1,TMEM30B,,
ZMYND8,LMF2,,
TPD52L2,PQLC1,,
PEPD,TMED10,,
CSE1L,AHNAK,,
UCHL3,NUDT8,,
SLC2A8,MCU,,
CYB5B,C18orf32,,
GAL,SLC28A2,,
PIGU,DMBT1,,
VAPB,PDE4DIP,,
PARD6B,NEU4,,
NCOA3,TNIK,,
RALY,KIAA1468,,
C20orf27,MIA2,,
EDN1,FRMD4B,,
PHF20,UNC13B,,
DEFA6,SLC22A23,,
DYNLRB1,HIPK2,,
LAS1L,NEO1,,
SLC20A2,IMPACT,,
YAE1D1,IMPA2,,
IGBP1,IQGAP2,,
FTL,DGLUCY,,
KPNA3,FOXA3,,
NKAP,GSDMB,,
PLAGL2,EDEM3,,
PQBP1,RASD1,,
RAB20,CKAP4,,
MRGBP,CAMK2D,,
IFT52,TCIRG1,,
SCAND1,SOCS6,,
XRN2,TCEA3,,
ARFRP1,UGT8,,
RB1CC1,S100A14,,
NAA20,SLC9A2,,
RALGAPB,SLC25A37,,
MPLKIP,ATP8B1,,
ATP5F1E,LPCAT4,,
EEPD1,CA7,,
OSBPL2,ENOSF1,,
PROX1,IFI27L1,,
C2,IGFBP2,,
SYS1,LIMA1,,
NORAD,SMAD2,,
FBL,RGMB,,
SLC7A6,RASSF6,,
ERGIC3,FAM114A1,,
SNRPB2,PTAR1,,
PCIF1,SH3BGRL3,,
RPN2,SMIM14,,
MCTS1,CLCA4,,
AURKA,CDKN2B,,
EIF3E,PIAS2,,
RAB22A,SAMD5,,
IRS2,PPP4R1,,
STRAP,AKR7A3,,
RBM39,ANXA13,,
BCAP31,FGFBP1,,
CCDC85B,SLC37A1,,
CEBPB,C2orf88,,
TBRG4,DENND2A,,
DCAF13,FABP2,,
RNF170,GALNT5,,
HELZ2,MIA3,,
ATP6V1H,NPDC1,,
ZFAS1,AC005833.1,,
GTF3A,SLC35A1,,
MICU2,SMCO4,,
COX19,CYSTM1,,
PSPH,SYT13,,
FNTA,NR3C2,,
NXT1,GALNT12,,
NSDHL,SMCHD1,,
SPATA13,GBP3,,
LAMP2,ST3GAL4,,
DNAJC5,SLC6A14,,
CCL20,ABHD3,,
DARS,NFIC,,
FTX,NR4A2,,
C6orf48,TSPAN1,,
PRKDC,CA12,,
RP9,TYMS,,
DIDO1,CRIP1,,
EIF3H,PLAC8,,
MRPS31,DEGS2,,
PET117,CEP70,,
YTHDF1,SIPA1L2,,
RNASEH2B,CCDC68,,
C6orf222,CA2,,
UTP23,KCNK1,,
SINHCAF,GSN,,
MRPS24,CRELD2,,
TRPC4AP,PAPSS2,,
LYPLA1,CHD3,,
NUDT4,KLF9,,
SPRYD7,MATN2,,
ADIRF,FAM107B,,
PCID2,SGMS2,,
PGRMC1,GALNT1,,
SLC52A2,DOCK5,,
TWISTNB,TC2N,,
UPF3A,PIGR,,
EPB41L5,C12orf57,,
TCF7,HIF1A,,
ZC3H13,PTPRH,,
SCARB1,GCNT3,,
GNPDA1,SMIM31,,
RNF6,SEC24D,,
TRAP1,RHBDL2,,
NCBP2,HID1,,
CHD6,TSPAN13,,
PDPK1,REG1B,,
TIMM17B,GALNT7,,
HUS1,MAPRE2,,
ASPSCR1,TMEM173,,
C1GALT1C1,LXN,,
UBAC2,TMEM263,,
EXOSC5,NUCB2,,
EDEM2,PLLP,,
VBP1,SERPINA1,,
HM13,BCAS1,,
NDFIP2,QSOX1,,
CHMP4C,ANG,,
RPUSD1,AMN,,
SLC3A2,ST6GALNAC1,,
CDK8,LMO4,,
GLA,ERN2,,
VMA21,KLK1,,
CSNK2A2,KLF2,,
NAE1,FOXA1,,
NIT2,ANPEP,,
COMMD6,ATP2A3,,
TBC1D4,MUC4,,
NAA10,TNFRSF11A,,
ABRACL,REG1A,,
UTP4,TPSG1,,
LAGE3,B3GNT7,,
LDHB,CDC42EP5,,
SLC29A1,ENTPD8,,
GPALPP1,VSIG2,,
NIP7,MMP28,,
TPX2,HSD17B2,,
MED30,RAP1GAP,,
MALSU1,PALLD,,
PAN3,MLPH,,
TSC22D1,AGR2,,
LAPTM4B,B3GALT5,,
DNAJC15,KIAA1324,,
PDP1,AGR3,,
OGFR,ASRGL1,,
EPB41L1,MUC1,,
SNRPB,CREB3L1,,
SOX4,IL1R2,,
ZFAND1,SPDEF,,
PAK1IP1,RARRES1,,
CDK4,LGALS2,,
HSD17B10,REP15,,
BOP1,SPON1,,
GPCPD1,PLA2G2A,,
MRPL13,L1TD1,,
CDC25B,UGT2B17,,
SUCLA2,HEPACAM2,,
ESF1,KCTD12,,
C8orf59,LRRC26,,
IMMP2L,MUC5B,,
BCL2L1,SPINK4,,
NHLRC3,RETNLB,,
RPIA,CLCA1,,
AC004130.1,MUC2,,
ABHD12,FCGBP,,
SLC35C2,CTSE,,
ARMC1,PYY,,
GOLGA7,REG4,,
TXLNG,SLC4A4,,
CCT6A,ITLN1,,
NUPL2,,,
BLCAP,,,
CYP2S1,,,
CDC16,,,
SMIM26,,,
UBE2C,,,
UBA2,,,
CCDC34,,,
COPS5,,,
ARL4A,,,
SLC38A5,,,
TXNDC9,,,
AVL9,,,
RBMX2,,,
RIDA,,,
EMD,,,
HIBADH,,,
IPO5,,,
ARFGAP1,,,
MED4,,,
MRPS17,,,
PEX16,,,
RRP9,,,
CAPZA2,,,
RPRD1B,,,
ALKBH3,,,
CTSH,,,
CXCL3,,,
SUPT20H,,,